domain,target,rank,feature,mutual_info,tree_accuracy,tree_macro_f1,tree_rule
IGP24,r,14,support_face,0.004213367058290035,0.5681818181818182,0.2729940043372879,"|--- support_face_x12_base <= 0.50
|   |--- class: 2
|--- support_face_x12_base >  0.50
|   |--- class: 6
"
IGP24,r,15,support_bucket,0.004213367058290035,0.5681818181818182,0.2729940043372879,"|--- support_bucket_x12_base <= 0.50
|   |--- class: 2
|--- support_bucket_x12_base >  0.50
|   |--- class: 6
"
IGP24,combined,1,threshold_zone,1.234007535275604,0.9431818181818182,0.5212654133818476,"|--- threshold_zone_low <= 0.50
|   |--- threshold_zone_high <= 0.50
|   |   |--- class: 25000|4
|   |--- threshold_zone_high >  0.50
|   |   |--- class: 25000|6
|--- threshold_zone_low >  0.50
|   |--- class: 25000|2
"
IGP24,combined,2,a6,0.7740863200277617,0.9431818181818182,0.5212654133818476,"|--- a6 <= 70.50
|   |--- a6 <= 18.50
|   |   |--- a6 <= 4.50
|   |   |   |--- class: 25000|2
|   |   |--- a6 >  4.50
|   |   |   |--- class: 25000|2
|   |--- a6 >  18.50
|   |   |--- class: 25000|2
|--- a6 >  70.50
|   |--- a6 <= 71.50
|   |   |--- class: 25000|4
|   |--- a6 >  71.50
|   |   |--- a6 <= 72.50
|   |   |   |--- class: 25000|6
|   |   |--- a6 >  72.50
|   |   |   |--- class: 25000|6
"
IGP24,combined,3,a6_abs,0.6252828521827745,0.8522727272727273,0.351,"|--- a6_abs <= 71.50
|   |--- a6_abs <= 70.50
|   |   |--- a6_abs <= 18.50
|   |   |   |--- class: 25000|2
|   |   |--- a6_abs >  18.50
|   |   |   |--- class: 25000|2
|   |--- a6_abs >  70.50
|   |   |--- class: 25000|2
|--- a6_abs >  71.50
|   |--- a6_abs <= 72.50
|   |   |--- class: 25000|6
|   |--- a6_abs >  72.50
|   |   |--- a6_abs <= 81.50
|   |   |   |--- class: 25000|6
|   |   |--- a6_abs >  81.50
|   |   |   |--- class: 25000|6
"
IGP24,combined,4,a18,0.6130220239616033,0.8409090909090909,0.45111111111111113,"|--- a18 <= -71.50
|   |--- a18 <= -81.50
|   |   |--- class: 25000|6
|   |--- a18 >  -81.50
|   |   |--- a18 <= -80.50
|   |   |   |--- class: 25000|2
|   |   |--- a18 >  -80.50
|   |   |   |--- class: 25000|6
|--- a18 >  -71.50
|   |--- a18 <= -18.50
|   |   |--- a18 <= -70.50
|   |   |   |--- class: 25000|4
|   |   |--- a18 >  -70.50
|   |   |   |--- class: 25000|2
|   |--- a18 >  -18.50
|   |   |--- a18 <= 34.00
|   |   |   |--- class: 25000|6
|   |   |--- a18 >  34.00
|   |   |   |--- class: 25000|2
"
IGP24,combined,5,a18_abs,0.5290747434536276,0.8181818181818182,0.33644653219121307,"|--- a18_abs <= 71.50
|   |--- a18_abs <= 18.50
|   |   |--- a18_abs <= 4.50
|   |   |   |--- class: 25000|6
|   |   |--- a18_abs >  4.50
|   |   |   |--- class: 25000|6
|   |--- a18_abs >  18.50
|   |   |--- a18_abs <= 70.50
|   |   |   |--- class: 25000|2
|   |   |--- a18_abs >  70.50
|   |   |   |--- class: 25000|2
|--- a18_abs >  71.50
|   |--- a18_abs <= 81.50
|   |   |--- a18_abs <= 80.50
|   |   |   |--- class: 25000|6
|   |   |--- a18_abs >  80.50
|   |   |   |--- class: 25000|2
|   |--- a18_abs >  81.50
|   |   |--- class: 25000|6
"
IGP24,combined,6,support_face,0.22685234409439523,0.5681818181818182,0.2785185185185185,"|--- support_face_x13_x15_x17 <= 0.50
|   |--- class: 24979|6
|--- support_face_x13_x15_x17 >  0.50
|   |--- class: 25000|2
"
IGP24,combined,7,support_bucket,0.22685234409439523,0.5681818181818182,0.2785185185185185,"|--- support_bucket_x13_x15_x17 <= 0.50
|   |--- class: 24979|6
|--- support_bucket_x13_x15_x17 >  0.50
|   |--- class: 25000|2
"
IGP24,combined,8,active_support_slots,0.19897658666400603,0.5681818181818182,0.2785185185185185,"|--- active_support_slots_12 <= 0.50
|   |--- active_support_slots_15 <= 0.50
|   |   |--- active_support_slots_17 <= 0.50
|   |   |   |--- class: 25000|2
|   |   |--- active_support_slots_17 >  0.50
|   |   |   |--- class: 25000|2
|   |--- active_support_slots_15 >  0.50
|   |   |--- class: 25000|2
|--- active_support_slots_12 >  0.50
|   |--- class: 24979|6
"
IGP24,combined,9,support_index,0.18986844647793544,0.5681818181818182,0.2785185185185185,"|--- support_index <= 12.50
|   |--- class: 24979|6
|--- support_index >  12.50
|   |--- support_index <= 14.00
|   |   |--- class: 25000|2
|   |--- support_index >  14.00
|   |   |--- support_index <= 16.00
|   |   |   |--- class: 25000|2
|   |   |--- support_index >  16.00
|   |   |   |--- class: 25000|2
"
